price_change_percentage_24h,price_change_percentage_7d,price_change_percentage_14d,price_change_percentage_30d,price_change_percentage_60d,price_change_percentage_200d,price_change_percentage_1y,Cluster
1.08388,7.60278,6.57509,7.67258,-3.25185,83.5184,37.51761,2
0.22392,10.38134,4.80849,0.13169,-12.8889,186.77418,101.96023,2
-0.21173,0.04935,0.0064,-0.04237,0.28037,-0.00542,0.01954,0
-0.37819,-0.60926,2.24984,0.23455,-17.55245,39.53888,-16.60193,0
2.90585,17.09717,14.75334,15.74903,-13.71793,21.66042,14.49384,2
2.10423,12.85511,6.80688,0.05865,36.33486,155.61937,69.69195,2
-0.23935,20.69459,9.30098,-11.21747,-43.69522,403.22917,325.13186,2
0.00322,13.99302,5.55476,10.10553,-22.84776,264.51418,156.09756,2
-0.06341,6.60221,7.28931,1.21662,-17.2396,27.49919,-12.66408,2
0.9253,3.29641,-1.86656,2.88926,-24.87434,7.42562,93.73082,0
0.61209,-5.67151,-8.53948,-17.44782,-16.476,226.70782,305.05908,0
-0.17825,-0.11871,-0.00568,-0.16584,0.04271,-0.15691,-0.19205,0
0.14477,-1.31177,1.13751,-4.63398,-30.16898,18.06111,-17.56753,0
0.42961,15.78515,18.41097,38.95974,41.725,169.52147,141.04116,2
0.07647,4.23886,1.40337,-12.60389,5.52545,132.88436,59.23821,0
-0.67316,8.95665,2.32062,-14.12663,-44.82248,43.42842,140.01279,2
-2.727,-4.55389,-5.02662,-10.43847,-2.8312,39.95853,141.95791,0
-1.00843,2.07149,-1.08217,-8.12933,-30.80369,84.62157,13.80715,0
-0.95103,16.08534,5.51074,4.57813,-7.2013,185.99786,82.43833,2
0.21169,0.0582,0.17076,-2.18147,0.65726,-0.3921,-0.28783,0
0.49302,2.44243,-9.84803,-21.95472,13.51879,158.64773,131.29655,0
1.10231,7.40537,6.55668,7.37557,-3.58772,83.9052,37.53424,2
-0.13192,-1.34886,-7.02859,3.07525,-7.54455,16.40588,21.00263,0
-0.40818,1.61798,0.45488,-3.25488,-3.40689,42.23704,24.57164,0
-0.8499,-0.8514,2.64844,-3.65382,82.86094,216.17761,200.71797,0
-0.10642,0.04726,0.05902,0.01843,0.09383,0.09959,0.13928,0
0.41996,6.0683,-3.77714,-4.15281,-34.51894,95.02821,-3.98533,0
1.28766,-1.76352,-18.1589,-14.16831,-43.62359,269.70264,202.86827,0
-0.60897,10.3478,5.79179,7.37007,-20.54216,122.54767,82.88499,2
-4.56089,-6.09456,-6.57354,31.43355,80.03112,882.65105,701.37599,0
-1.06006,5.09387,0.51708,-7.7914,-26.2246,6.23435,-2.45897,0
-0.4595,3.05209,-1.26669,2.89572,-25.90799,10.39203,11.11094,0
-13.52786,4.21266,-9.80075,-29.99499,2.13917,2227.92782,7852.0897,1
-0.60285,8.154,-1.48854,16.7136,-18.61722,82.53544,10.65279,2
-4.07216,4.33651,-13.29164,-20.84154,-39.42657,622.92465,678.78427,0
4.84033,6.82985,-13.21636,-9.11552,79.27505,585.26307,320.69054,0
2.51323,0.60354,24.23919,140.7957,223.06437,1590.19149,2009.72217,3
-1.35845,-1.21399,-10.56222,-34.70548,-32.70004,54.76717,-12.65493,0
0.83416,7.10438,-0.20629,-10.56394,5.90295,57.4895,168.37251,0
-0.06197,0.16642,0.10974,0.0309,0.25154,-0.08874,0.40617,0
2.97084,0.67038,-7.31941,13.25354,-31.0903,482.58918,184.38014,0
